"day_index","date_format","phase","weekday","2018","2019","2020","diff_18_19","diff_20_19"
120,2020-06-12,"green","Friday",8304,12291,7441,3987,-4850
121,2020-06-13,"green","Saturday",6993,10069,6882,3076,-3187
122,2020-06-14,"green","Sunday",5691,7308,5506,1617,-1802
123,2020-06-15,"green","Monday",7808,10091,6772,2283,-3319
124,2020-06-16,"green","Tuesday",8518,10991,6713,2473,-4278
125,2020-06-17,"green","Wednesday",8773,11337,7004,2564,-4333
126,2020-06-18,"green","Thursday",8383,11138,7289,2755,-3849
127,2020-06-19,"green","Friday",8910,12587,7304,3677,-5283
128,2020-06-20,"green","Saturday",8106,10513,6663,2407,-3850
129,2020-06-21,"green","Sunday",6341,7680,4491,1339,-3189
130,2020-06-22,"green","Monday",8120,10138,6804,2018,-3334
131,2020-06-23,"green","Tuesday",8107,10747,6758,2640,-3989
132,2020-06-24,"green","Wednesday",8757,11080,7562,2323,-3518
133,2020-06-25,"green","Thursday",8431,11079,7612,2648,-3467
134,2020-06-26,"green","Friday",9170,11091,8665,1921,-2426
135,2020-06-27,"green","Saturday",7320,8635,7166,1315,-1469
136,2020-06-28,"green","Sunday",7442,8406,5603,964,-2803
137,2020-06-29,"green","Monday",8397,11575,7115,3178,-4460
138,2020-06-30,"green","Tuesday",8839,9995,7438,1156,-2557
139,2020-07-01,"green","Wednesday",9212,10436,7417,1224,-3019
140,2020-07-02,"green","Thursday",9583,10933,7258,1350,-3675
141,2020-07-03,"green","Friday",9735,12099,7814,2364,-4285
142,2020-07-04,"green","Saturday",7351,9749,5361,2398,-4388
143,2020-07-05,"green","Sunday",6172,7673,4984,1501,-2689
144,2020-07-06,"green","Monday",9157,9715,7040,558,-2675
145,2020-07-07,"green","Tuesday",9105,10268,7131,1163,-3137
146,2020-07-08,"green","Wednesday",7220,10516,6520,3296,-3996
147,2020-07-09,"green","Thursday",8524,8529,7379,5,-1150
148,2020-07-10,"green","Friday",8515,9454,9151,939,-303
149,2020-07-11,"green","Saturday",6348,7991,8588,1643,597
150,2020-07-12,"green","Sunday",5908,7599,5506,1691,-2093
151,2020-07-13,"green","Monday",8587,10049,7277,1462,-2772
152,2020-07-14,"green","Tuesday",9195,10640,7195,1445,-3445
153,2020-07-15,"green","Wednesday",9955,11480,7441,1525,-4039
154,2020-07-16,"green","Thursday",10436,12321,7204,1885,-5117
155,2020-07-17,"green","Friday",12690,14411,8233,1721,-6178
156,2020-07-18,"green","Saturday",12634,14630,7209,1996,-7421
157,2020-07-19,"green","Sunday",8694,10559,5348,1865,-5211
158,2020-07-20,"green","Monday",8501,10513,7401,2012,-3112
159,2020-07-21,"green","Tuesday",8598,10908,7154,2310,-3754
