"","Jurisdiction","Date","New.Cases","X7.day.Average.New.Cases","Cumulative.cases","Population..2018.","New.Case.Rate","X7.Day.Average.New.Case.Rate","Cumulative.Case.Rate","County.FIPS.Code","Longitude","Latitude","Georeferenced.Lat...Long","Date_adj","phase","phase2"
"9481","Centre",2020-04-13,1,2.4,78,162805,0.6,1.5,47.9,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-30,"red","red"
"9617","Centre",2020-05-28,1,1.3,152,162805,0.6,0.8,93.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-14,"yellow","yellow"
"9664","Centre",2020-06-24,2,3.1,198,162805,1.2,1.9,121.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-10,"green","green"
"9737","Centre",2020-08-06,4,2.3,370,162805,2.5,1.4,227.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-23,"green","green"
"9853","Centre",2020-05-23,3,1.4,148,162805,1.8,0.9,90.9,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-09,"yellow","yellow"
"9856","Centre",2020-06-14,2,2.1,175,162805,1.2,1.3,107.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-31,"green","green"
"10160","Centre",2020-07-22,4,5.7,303,162805,2.5,3.5,186.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-08,"green","green"
"10209","Centre",2020-06-29,1,1.1,203,162805,0.6,0.7,124.7,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-15,"green","green"
"10224","Centre",2020-06-07,1,0.4,160,162805,0.6,0.3,98.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-24,"green","yellow"
"10277","Centre",2020-05-13,1,1.3,136,162805,0.6,0.8,83.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-29,"yellow","red"
"10338","Centre",2020-04-12,0,3.3,77,162805,0,2,47.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-29,"red","red"
"10369","Centre",2020-03-11,0,0,0,162805,0,0,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-26,"pop","base"
"10476","Centre",2020-07-09,4,3.1,241,162805,2.5,1.9,148,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-25,"green","green"
"10494","Centre",2020-04-17,0,0.7,81,162805,0,0.4,49.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-03,"red","red"
"10663","Centre",2020-05-06,4,3.4,127,162805,2.5,2.1,78,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-22,"red","red"
"10763","Centre",2020-03-26,1,2,15,162805,0.6,1.2,9.2,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-12,"local","pop"
"10910","Centre",2020-08-10,1,2.3,376,162805,0.6,1.4,231,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-27,"green","green"
"10941","Centre",2020-06-20,0,1.4,183,162805,0,0.9,112.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-06,"green","green"
"11010","Centre",2020-03-31,4,3.6,36,162805,2.5,2.2,22.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-17,"red","pop"
"11023","Centre",2020-07-05,1,3.9,229,162805,0.6,2.4,140.7,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-21,"green","green"
"11074","Centre",2020-05-19,2,0.9,141,162805,1.2,0.5,86.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-05,"yellow","red"
"11185","Centre",2020-04-27,6,2.4,100,162805,3.7,1.5,61.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-13,"red","red"
"11448","Centre",2020-06-03,0,0.9,157,162805,0,0.5,96.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-20,"green","yellow"
"11529","Centre",2020-03-16,0,0,0,162805,0,0,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-02,"pop","base"
"11628","Centre",2020-07-26,4,6.1,333,162805,2.5,3.8,204.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-12,"green","green"
"12104","Centre",2020-06-15,1,2.1,176,162805,0.6,1.3,108.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-01,"green","green"
"12238","Centre",2020-04-04,6,3.6,53,162805,3.7,2.2,32.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-21,"red","local"
"12243","Centre",2020-08-01,2,3.9,356,162805,1.2,2.4,218.7,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-18,"green","green"
"12263","Centre",2020-03-22,2,0.4,3,162805,1.2,0.3,1.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-08,"local","pop"
"12352","Centre",2020-04-23,2,0.6,85,162805,1.2,0.4,52.2,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-09,"red","red"
"12850","Centre",2020-03-20,0,0.1,1,162805,0,0.1,0.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-06,"local","pop"
"13264","Centre",2020-05-24,0,1.3,148,162805,0,0.8,90.9,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-10,"yellow","yellow"
"13524","Centre",2020-06-10,0,0.7,162,162805,0,0.4,99.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-27,"green","yellow"
"13555","Centre",2020-03-07,0,NA,0,162805,0,NA,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-22,"pop","base"
"13647","Centre",2020-07-12,7,3.1,251,162805,4.3,1.9,154.2,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-28,"green","green"
"13906","Centre",2020-08-13,6,2.7,389,162805,3.7,1.7,238.9,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-30,"green","green"
"13916","Centre",2020-04-08,2,4.3,66,162805,1.2,2.6,40.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-25,"red","local"
"13927","Centre",2020-07-17,7,5,278,162805,4.3,3.1,170.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-03,"green","green"
"13959","Centre",2020-05-09,0,2.1,127,162805,0,1.3,78,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-25,"yellow","red"
"14077","Centre",2020-03-03,0,NA,0,162805,0,NA,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-18,"base","base"
"14101","Centre",2020-08-18,7,4.3,410,162805,4.3,2.6,251.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-08-04,"return","green"
"14121","Centre",2020-07-27,9,6.7,342,162805,5.5,4.1,210.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-13,"green","green"
"14142","Centre",2020-06-30,4,1.6,207,162805,2.5,1,127.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-16,"green","green"
"14171","Centre",2020-08-23,6,4.1,426,162805,3.7,2.5,261.7,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-08-09,"return","green"
"14314","Centre",2020-06-25,1,2.9,199,162805,0.6,1.8,122.2,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-11,"green","green"
"14342","Centre",2020-05-02,7,3.4,112,162805,4.3,2.1,68.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-18,"red","red"
"14392","Centre",2020-04-14,2,2.3,80,162805,1.2,1.4,49.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-31,"red","red"
