"camera_name","hour","phase","weekends","road_connect","lanes","fit","se.fit"
"CAM02003CCTV4",23,"green",FALSE,"between",6,0.110365685719607,0.0103610242951276
"CAM02003CCTV4",2,"red",FALSE,"between",6,0.0412791983575697,0.0037955030212628
"CAM02003CCTV4",19,"red",FALSE,"between",6,22.5340849013648,0.282706354367821
"CAM02003CCTV4",7,"red",FALSE,"between",6,26.7553125906369,0.286754442037579
"CAM02003CCTV4",20,"red",FALSE,"between",6,13.4168495954866,0.23031040048284
"CAM02003CCTV4",5,"red",FALSE,"between",6,8.90881532804939,0.175893859217368
"CAM02003CCTV4",3,"red",FALSE,"between",6,0.169436265504228,0.01410706465389
"CAM02003CCTV4",16,"red",FALSE,"between",6,51.8284627594973,0.413147139374308
"CAM02003CCTV4",18,"red",FALSE,"between",6,26.66946481056,0.294398630837165
"CAM02003CCTV4",14,"red",FALSE,"between",6,60.4856917193177,0.439000859782683
"CAM02003CCTV4",22,"green",FALSE,"between",6,0.677971869289206,0.0470633538006344
"CAM02003CCTV4",21,"green",FALSE,"between",6,5.26964531010516,0.168690400164057
"CAM02005CCTV9",10,"red",FALSE,"between",3,27.2338146952835,0.309746805392714
"CAM02005CCTV9",20,"red",FALSE,"between",3,18.9749478467035,0.290863055396832
"CAM02005CCTV9",9,"red",FALSE,"between",3,18.4582128847857,0.219855622445903
"CAM02005CCTV9",11,"red",FALSE,"between",3,33.8796373125454,0.347341551260726
"CAM02005CCTV9",12,"red",FALSE,"between",3,35.9744454911571,0.329348482381012
"CAM02005CCTV9",7,"red",FALSE,"between",3,17.1895453598888,0.228069099774496
"CAM02005CCTV9",17,"green",FALSE,"between",3,53.8579611496756,0.509693740424568
"CAM02005CCTV9",22,"red",FALSE,"between",3,0.51409519131644,0.0338660836363931
"CAM02005CCTV9",19,"red",FALSE,"between",3,28.8758352515217,0.332172476801564
"CAM02005CCTV9",8,"red",FALSE,"between",3,14.3883964204311,0.220634410447509
"CAM02005CCTV9",15,"green",FALSE,"between",3,76.890372977452,0.663032768106179
"CAM02005CCTV9",13,"red",FALSE,"between",3,38.4732005333371,0.384755081567182
"CAM02005CCTV9",23,"red",FALSE,"between",3,0.0618775245622026,0.00565085013013272
"CAM02005CCTV9",6,"red",FALSE,"between",3,19.9336022879728,0.3168108108479
"CAM02005CCTV9",21,"red",FALSE,"between",3,4.63939971259783,0.137583750925724
"CAM02005CCTV9",4,"red",FALSE,"between",3,0.971260589009964,0.0583610847564958
"CAM02005CCTV9",11,"green",FALSE,"between",3,53.9193753649692,0.520180964500846
"CAM02005CCTV9",14,"red",FALSE,"between",3,44.4040407057256,0.366179009004175
"CAM02005CCTV9",19,"green",FALSE,"between",3,45.9558343420423,0.504056997023937
"CAM02005CCTV9",17,"red",FALSE,"between",3,33.8410483762697,0.341064106605693
"CAM02005CCTV9",0,"green",FALSE,"between",3,0.0984779572090949,0.00898527243186916
"CAM02005CCTV9",15,"red",FALSE,"between",3,48.3132071109798,0.448692368474714
"CAM02005CCTV9",22,"green",FALSE,"between",3,0.818181473969097,0.0538096844943195
"CAM02005CCTV9",3,"red",FALSE,"between",3,0.0795171728446842,0.00815100158083566
"CAM02005CCTV9",20,"green",FALSE,"between",3,30.1985917393002,0.450667127844696
"CAM02005CCTV9",18,"green",FALSE,"between",3,46.7188240150066,0.493031110471935
"CAM02005CCTV9",1,"green",FALSE,"between",3,0.0284089448057112,0.0028029765242407
"CAM02005CCTV9",16,"green",FALSE,"between",3,68.4271640612402,0.552402389707391
"CAM02005CCTV9",23,"green",FALSE,"between",3,0.098477957209095,0.00898527243186916
"CAM02005CCTV9",6,"green",FALSE,"between",3,31.7242883749296,0.492062721764032
"CAM02005CCTV9",2,"red",FALSE,"between",3,0.0178974194099757,0.00198316872913618
"CAM02005CCTV9",14,"green",FALSE,"between",3,70.6689424224392,0.529225937293981
"CAM02005CCTV9",2,"green",FALSE,"between",3,0.028483707376449,0.00315440845050439
"CAM02005CCTV9",0,"red",FALSE,"between",3,0.0618775245622025,0.00565085013013272
"CAM02005CCTV9",5,"red",FALSE,"between",3,8.79888143298255,0.191928452986804
"CAM02005CCTV9",12,"green",FALSE,"between",3,57.2532584127179,0.485099371452341
"CAM02005CCTV9",5,"green",FALSE,"between",3,14.0034022914751,0.301497603682921
"CAM02005CCTV9",10,"green",FALSE,"between",3,43.3425618942873,0.469524380570004
"CAM02005CCTV9",18,"red",FALSE,"between",3,29.355251291086,0.326106900611457
"CAM02005CCTV9",1,"red",FALSE,"between",3,0.0178504431836377,0.00176255259266318
"CAM02005CCTV9",16,"red",FALSE,"between",3,42.9954443097466,0.377544874740734
"CAM02005CCTV9",4,"green",FALSE,"between",3,1.54575929467336,0.0927189602554056
"CAM02005CCTV9",7,"green",FALSE,"between",3,27.3571272343522,0.350471144736303
"CAM02005CCTV9",21,"green",FALSE,"between",3,7.38359541054067,0.217332534905789
"CAM02005CCTV9",9,"green",FALSE,"between",3,29.3762090756719,0.334837912859592
"CAM02005CCTV9",8,"green",FALSE,"between",3,22.8991042712824,0.3421338103412
"CAM02005CCTV9",3,"green",FALSE,"between",3,0.126551422349082,0.0129641462946182
"CAM02005CCTV9",13,"green",FALSE,"between",3,61.2300220900116,0.574486170937148
"CAM02006CCTV10",9,"red",FALSE,"between",3,5.42826884461168,0.121140918340462
"CAM02006CCTV10",16,"green",FALSE,"between",3,9.49685269477454,0.207576676708327
"CAM02006CCTV10",15,"green",FALSE,"between",3,10.1014751285127,0.236176451064783
"CAM02006CCTV10",0,"green",FALSE,"between",3,1.23874971406847,0.0630656337898624
"CAM02006CCTV10",10,"red",FALSE,"between",3,6.78292252241351,0.158341695610981
"CAM02006CCTV10",19,"green",FALSE,"between",3,7.83038637983309,0.178980992352236
"CAM02006CCTV10",11,"red",FALSE,"between",3,6.70066615052043,0.14303207641311
"CAM02006CCTV10",4,"red",FALSE,"between",3,1.31700192436156,0.0559129256082742
"CAM02006CCTV10",11,"green",FALSE,"between",3,10.6640968447283,0.224678597939238
"CAM02006CCTV10",8,"red",FALSE,"between",3,3.87392825494814,0.116429226554938
"CAM02006CCTV10",14,"green",FALSE,"between",3,9.22676822187439,0.18656912049925
"CAM02006CCTV10",17,"green",FALSE,"between",3,8.04141910682012,0.184843278767639
"CAM02006CCTV10",12,"red",FALSE,"between",3,5.78254840891245,0.126700047693545
"CAM02006CCTV10",1,"green",FALSE,"between",3,1.03471745760599,0.0497207129793132
"CAM02006CCTV10",22,"green",FALSE,"between",3,2.30934288029554,0.092283106975261
"CAM02006CCTV10",3,"red",FALSE,"between",3,0.999684420983776,0.0576080556940177
"CAM02006CCTV10",20,"green",FALSE,"between",3,7.50489119050473,0.216335274793746
"CAM02006CCTV10",5,"red",FALSE,"between",3,1.71079704635879,0.074024281305892
"CAM02006CCTV10",13,"green",FALSE,"between",3,8.50923064741138,0.209543443547816
"CAM02006CCTV10",6,"red",FALSE,"between",3,2.18618066137381,0.0797885543726824
"CAM02006CCTV10",23,"green",FALSE,"between",3,1.23874971406847,0.0630656337898624
"CAM02006CCTV10",6,"green",FALSE,"between",3,3.47930217224025,0.126408339884099
"CAM02006CCTV10",2,"red",FALSE,"between",3,0.758844267023162,0.0438457978721243
"CAM02006CCTV10",9,"green",FALSE,"between",3,8.63907906435009,0.190515486599158
"CAM02006CCTV10",2,"green",FALSE,"between",3,1.20769914092397,0.0696379174460161
"CAM02006CCTV10",7,"green",FALSE,"between",3,4.50785971982655,0.131719038598519
"CAM02006CCTV10",0,"red",FALSE,"between",3,0.778354547870476,0.0397309457337926
"CAM02006CCTV10",12,"green",FALSE,"between",3,9.2029142859449,0.199166277490287
"CAM02006CCTV10",5,"green",FALSE,"between",3,2.72273009492172,0.117418712944769
"CAM02006CCTV10",10,"green",FALSE,"between",3,10.7950076969121,0.249266364797836
"CAM02006CCTV10",18,"green",FALSE,"between",3,7.36227169167144,0.196683882615969
"CAM02006CCTV10",13,"red",FALSE,"between",3,5.34668004203906,0.132928764451051
"CAM02006CCTV10",1,"red",FALSE,"between",3,0.650153158254598,0.0313345714554021
"CAM02006CCTV10",14,"red",FALSE,"between",3,5.79753676314128,0.11889903529375
"CAM02006CCTV10",23,"red",FALSE,"between",3,0.778354547870476,0.0397309457337926
"CAM02006CCTV10",21,"green",FALSE,"between",3,4.84572086093189,0.146717260761986
"CAM02006CCTV10",4,"green",FALSE,"between",3,2.096005941886,0.0886676506040671
"CAM02006CCTV10",17,"red",FALSE,"between",3,5.0527358852573,0.117423516316617
"CAM02006CCTV10",7,"red",FALSE,"between",3,2.83246330896443,0.083333745086558
"CAM02006CCTV10",19,"red",FALSE,"between",3,4.92013582817201,0.113732212440839
"CAM02006CCTV10",8,"green",FALSE,"between",3,6.1653491089222,0.184093903621898
"CAM02006CCTV10",20,"red",FALSE,"between",3,4.71561456124748,0.136925863334938
"CAM02006CCTV10",22,"red",FALSE,"between",3,1.45104980695962,0.0582251233806435
"CAM02006CCTV10",3,"green",FALSE,"between",3,1.59099576669838,0.0914995096395271
"CAM02006CCTV10",15,"red",FALSE,"between",3,6.34714907877165,0.149987381302237
"CAM02006CCTV10",21,"red",FALSE,"between",3,3.04475458357902,0.0928239506424373
"CAM02006CCTV10",16,"red",FALSE,"between",3,5.96724132525222,0.132022011955828
"CAM02006CCTV10",18,"red",FALSE,"between",3,4.6260011920001,0.124595212600716
"CAM02007CCTV13",19,"green",FALSE,"between",4,34.377843368658,0.532073796428916
"CAM02007CCTV13",11,"red",FALSE,"between",4,40.9765060688049,0.432359537376122
"CAM02007CCTV13",20,"green",FALSE,"between",4,19.1246504419586,0.40670787838625
"CAM02007CCTV13",14,"red",FALSE,"between",4,43.3800160610872,0.406673802567543
"CAM02007CCTV13",23,"red",FALSE,"between",4,0.0124245173991115,0.00197336020716045
"CAM02007CCTV13",19,"red",FALSE,"between",4,21.6009339320782,0.341920479961373
"CAM02007CCTV13",9,"red",FALSE,"between",4,28.7647689748327,0.332139251562531
"CAM02007CCTV13",10,"red",FALSE,"between",4,37.6468514288277,0.432527086544944
"CAM02007CCTV13",12,"red",FALSE,"between",4,38.8015199089964,0.392877848919118
"CAM02007CCTV13",15,"red",FALSE,"between",4,46.7400443105996,0.506782907053971
"CAM02007CCTV13",17,"green",FALSE,"between",4,48.0948990802272,0.577231873193345
"CAM02007CCTV13",20,"red",FALSE,"between",4,12.0167605117274,0.258644474384791
"CAM02007CCTV13",18,"green",FALSE,"between",4,38.706285190039,0.512899212076782
"CAM02007CCTV13",1,"green",FALSE,"between",4,0.00339066762418472,0.000580899706946462
"CAM02007CCTV13",13,"red",FALSE,"between",4,38.577503811354,0.434072945852914
"CAM02007CCTV13",21,"red",FALSE,"between",4,2.23797837723137,0.114167510666826
"CAM02007CCTV13",4,"red",FALSE,"between",4,0.252281243378811,0.0263790902864974
"CAM02007CCTV13",21,"green",FALSE,"between",4,3.56173813395398,0.18131850203608
"CAM02007CCTV13",14,"green",FALSE,"between",4,69.0392092382296,0.605946014354747
"CAM02007CCTV13",7,"red",FALSE,"between",4,26.1721199129414,0.345763904373418
"CAM02007CCTV13",0,"green",FALSE,"between",4,0.0197735947168246,0.00313995409009478
"CAM02007CCTV13",22,"red",FALSE,"between",4,0.168193210282961,0.0192692207584314
"CAM02007CCTV13",5,"red",FALSE,"between",4,5.53569142055408,0.192294476059705
"CAM02007CCTV13",8,"red",FALSE,"between",4,23.6166375905795,0.345225810070658
"CAM02007CCTV13",15,"green",FALSE,"between",4,74.3866875111235,0.768430636531282
"CAM02007CCTV13",3,"green",FALSE,"between",4,0.0149296777224424,0.00258839548502648
"CAM02007CCTV13",18,"red",FALSE,"between",4,24.3206620083815,0.332152879383765
"CAM02007CCTV13",16,"green",FALSE,"between",4,64.4572357951987,0.622207519973377
"CAM02007CCTV13",16,"red",FALSE,"between",4,40.5009842218857,0.413093119390866
"CAM02007CCTV13",23,"green",FALSE,"between",4,0.0197735947168246,0.00313995409009479
"CAM02007CCTV13",11,"green",FALSE,"between",4,65.2140278683177,0.653699684376322
"CAM02007CCTV13",2,"red",FALSE,"between",4,0.00161297121368681,0.000303295565406956
"CAM02007CCTV13",2,"green",FALSE,"between",4,0.00256704047689036,0.000482621786776215
"CAM02007CCTV13",17,"red",FALSE,"between",4,30.219892689636,0.376135132817338
"CAM02007CCTV13",0,"red",FALSE,"between",4,0.0124245173991114,0.00197336020716045
"CAM02007CCTV13",13,"green",FALSE,"between",4,61.3960205494199,0.660546078020652
"CAM02007CCTV13",22,"green",FALSE,"between",4,0.267679159473411,0.0306546002384479
"CAM02007CCTV13",3,"red",FALSE,"between",4,0.00938089625493247,0.00162668123177389
"CAM02007CCTV13",10,"green",FALSE,"between",4,59.9148891345579,0.659463365752637
"CAM02007CCTV13",6,"green",FALSE,"between",4,36.2779562869686,0.630245958671538
"CAM02007CCTV13",6,"red",FALSE,"between",4,22.7948486629056,0.403064786066085
"CAM02007CCTV13",9,"green",FALSE,"between",4,45.7790725837054,0.506627831493234
"CAM02007CCTV13",7,"green",FALSE,"between",4,41.6528767608832,0.532897619870456
"CAM02007CCTV13",4,"green",FALSE,"between",4,0.401505096816554,0.0419614349336727
"CAM02007CCTV13",12,"green",FALSE,"between",4,61.7525417230424,0.591234827349192
"CAM02007CCTV13",5,"green",FALSE,"between",4,8.81004188019952,0.304656784149671
"CAM02007CCTV13",8,"green",FALSE,"between",4,37.5858317300631,0.535289493467807
"CAM02007CCTV13",1,"red",FALSE,"between",4,0.00213048813301722,0.000365066614965214
"CAM02009CCTV7",10,"red",FALSE,"between",2,31.2093599102673,0.346173720603324
"CAM02009CCTV7",17,"green",FALSE,"between",2,42.9836111637422,0.465086234970249
"CAM02009CCTV7",21,"red",FALSE,"between",2,2.4562847253485,0.10581436046321
"CAM02009CCTV7",11,"red",FALSE,"between",2,33.6923859631271,0.345468742244613
"CAM02009CCTV7",22,"red",FALSE,"between",2,0.142167482166145,0.0138940786202169
"CAM02009CCTV7",23,"red",FALSE,"between",2,0.0119709028774758,0.00160905603404086
"CAM02009CCTV7",18,"red",FALSE,"between",2,22.4266701709743,0.27817681314886
"CAM02009CCTV7",16,"green",FALSE,"between",2,61.8870435462928,0.536935200569741
"CAM02009CCTV7",14,"red",FALSE,"between",2,40.6460421110477,0.355554223443443
"CAM02009CCTV7",12,"red",FALSE,"between",2,31.9277080968286,0.31053258536132
"CAM02009CCTV7",19,"green",FALSE,"between",2,38.1691582454089,0.484995521220407
"CAM02009CCTV7",2,"green",FALSE,"between",2,0.0127865212847629,0.00190794607961339
"CAM02009CCTV7",7,"red",FALSE,"between",2,15.0010634672447,0.21497328294546
"CAM02009CCTV7",0,"green",FALSE,"between",2,0.0190516681083005,0.00255998651410865
"CAM02009CCTV7",15,"red",FALSE,"between",2,46.4821420594587,0.45646511621631
"CAM02009CCTV7",13,"red",FALSE,"between",2,33.1530306242773,0.355910624982005
"CAM02009CCTV7",20,"green",FALSE,"between",2,24.2917938901151,0.411402086100596
"CAM02009CCTV7",18,"green",FALSE,"between",2,35.6920009497077,0.425458833095215
"CAM02009CCTV7",1,"green",FALSE,"between",2,0.00732775497442906,0.00102818247938939
"CAM02009CCTV7",13,"green",FALSE,"between",2,52.7629822664836,0.537116967816014
"CAM02009CCTV7",16,"red",FALSE,"between",2,38.8860326274535,0.362532741902251
"CAM02009CCTV7",9,"red",FALSE,"between",2,23.2846352687306,0.26560387813811
"CAM02009CCTV7",21,"green",FALSE,"between",2,3.90917225256907,0.167867840346117
"CAM02009CCTV7",2,"red",FALSE,"between",2,0.0080342678431389,0.00119914973616846
"CAM02009CCTV7",14,"green",FALSE,"between",2,64.6880951371457,0.521177640710082
"CAM02009CCTV7",19,"red",FALSE,"between",2,23.9831642916204,0.315696787964153
"CAM02009CCTV7",17,"red",FALSE,"between",2,27.0082720126833,0.306484247117183
"CAM02009CCTV7",5,"red",FALSE,"between",2,4.09622838186608,0.124034287629013
"CAM02009CCTV7",8,"red",FALSE,"between",2,17.101096059063,0.253587897885606
"CAM02009CCTV7",15,"green",FALSE,"between",2,73.9762365916389,0.681322663979236
"CAM02009CCTV7",3,"green",FALSE,"between",2,0.0746895730838574,0.0101667073674967
"CAM02009CCTV7",20,"red",FALSE,"between",2,15.2634773881839,0.263778639007773
