datetime_EST,camera_name,vehicle_count_sum,image_count,vehicle_avg
2020-04-27 05:00:00,CAM02037CCTV43,6,78,4.615384615384615
2020-04-27 05:00:00,CAM02038CCTV44,3,4,45.0
2020-04-27 05:00:00,CAM02039CCTV45,0,80,0.0
2020-04-27 05:00:00,CAM02040CCTV46,5,78,3.846153846153846
2020-04-27 05:00:00,CAM02042CCTV49,1,81,0.7407407407407407
2020-04-27 05:00:00,CAM02046CCTV52,1,70,0.8571428571428571
2020-04-27 05:00:00,collegeTwp,27,89,18.202247191011235
2020-04-27 05:00:00,parkArboretum,0,90,0.0
2020-04-27 06:00:00,CAM02001CCTV2,0,65,0.0
2020-04-27 06:00:00,CAM02002CCTV3,31,72,25.833333333333336
2020-04-27 06:00:00,CAM02003CCTV4,22,75,17.6
2020-04-27 06:00:00,CAM02006CCTV10,0,70,0.0
2020-04-27 06:00:00,CAM02007CCTV13,18,77,14.025974025974024
2020-04-27 06:00:00,CAM02009CCTV7,5,80,3.75
2020-04-27 06:00:00,CAM02010CCTV11,4,74,3.243243243243243
2020-04-27 06:00:00,CAM02020CCTV24,75,83,54.21686746987952
2020-04-27 06:00:00,CAM02028CCTV32,56,79,42.53164556962025
2020-04-27 06:00:00,CAM02033CCTV38,11,73,9.04109589041096
2020-04-27 06:00:00,CAM02037CCTV43,31,83,22.40963855421687
2020-04-27 06:00:00,CAM02038CCTV44,61,74,49.45945945945946
2020-04-27 06:00:00,CAM02039CCTV45,9,77,7.012987012987012
2020-04-27 06:00:00,CAM02040CCTV46,29,66,26.36363636363636
2020-04-27 06:00:00,CAM02042CCTV49,87,77,67.79220779220779
2020-04-27 06:00:00,CAM02046CCTV52,3,77,2.3376623376623376
2020-04-27 06:00:00,collegeTwp,82,86,57.2093023255814
2020-04-27 06:00:00,parkArboretum,4,86,2.7906976744186047
2020-04-27 07:00:00,CAM02001CCTV2,3,79,2.278481012658228
2020-04-27 07:00:00,CAM02002CCTV3,76,78,58.46153846153846
2020-04-27 07:00:00,CAM02003CCTV4,34,76,26.842105263157897
2020-04-27 07:00:00,CAM02006CCTV10,0,64,0.0
