location_name,street_address,city,latitude,longitude
Atlas Therapy,3075 Enterprise Dr Ste 200,State College,40.765019,-77.880398
Atwater D F Dr,1375 N Allen St,State College,40.806073,-77.884859
Audi State College,127 Leisure Ln,State College,40.760468,-77.875703
Auntie Anne's,1665 N Atherton St,State College,40.809509,-77.898354
Auntie Anne's,324 E College Ave,State College,40.796978,-77.857783
Auntie Anne's,University Drive,State College,40.806798,-77.856894
Auto Dynamics,425 Musser Ln,Bellefonte,40.924936,-77.724018
Auto Glass Centre,25 Decibel Rd,State College,40.830828,-77.799675
AutoZone,2605 E College Ave,State College,40.828375,-77.807361
Autumnwood Park,2207 Autumnwood Dr,State College,40.764282,-77.888178
Avant Garden,242 E Calder Way,State College,40.795558,-77.858845
Avis Rent A Car,2493 Fox Hill Rd,State College,40.85147,-77.850737
Axemann Brewery,2042 Axemann Rd # 300,Bellefonte,40.90177,-77.777587
B & B Nails,269 Northland Ctr,Park Forest Village,40.803275,-77.887619
Baby's Burgers & Shakes,131 S Garner St,State College,40.797624,-77.856281
Back To Life Physical Therapy,434 W Aaron Dr Ste 104,Park Forest Village,40.804674,-77.894582
Badger and Hound Barber Club,105 S Pugh St,State College,40.795122,-77.859964
Bagel Crust,225 W Beaver Ave,State College,40.792141,-77.862267
Bagel Crust,332 E Calder Way,State College,40.796767,-77.857288
Bagel Crust,460 Westerly Pkwy,State College,40.783362,-77.8529
Baha'is of College Twp,124 Green Acres Ln,State College,40.815739,-77.825513
Bahais Of State College,127 Logan Ave,State College,40.787626,-77.852302
Bald Eagle Area Head Start,751 S Eagle Valley Rd,Bellefonte,40.937735,-77.811226
Bald Eagle Area Jshs,710 S Eagle Valley Rd,Wingate,40.937421,-77.810898
Bald Eagle Christian And Missionary Alliance Church,3550 S Mountain Rd,Tyrone,40.751358,-78.216806
Bald Eagle State Park,149 Main Park Rd,Howard,41.026911,-77.645318
Bald Eagle Valley Community Church,111 Runville Rd,Bellefonte,40.935957,-77.814475
Balfurd Cleaners,1223 N Atherton St,State College,40.803149,-77.882723
Balfurd Cleaners,215 S Atherton St,State College,40.790736,-77.863288
Baltimore Life Insurance,Tyrone Pike,Philipsburg,40.87632,-78.213691
Bar Bleu,114 S Garner St,State College,40.797657,-77.856751
Barnes and Noble,365 Benner Pike,State College,40.83141,-77.804962
Barrel 21 Distillery And Dining,2255 N Atherton St,State College,40.810449,-77.912507
Barry L Holden DMD,110 Regent Ct Ste 100,State College,40.784344,-77.822546
Barter Bradley Surgeon,101 Regent Ct,State College,40.785182,-77.823149
Bartlett Tree Experts,2101 Boal Ave,Centre Hall,40.839768,-77.683446
