Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Dauphin,07/09/2020,20,14.6,2268,277097,7.2,5.3,818.5,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Crawford,09/07/2020,1,2.7,244,85063,1.2,3.2,286.8,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Somerset,04/14/2020,1,1,14,73952,1.4,1.4,18.9,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Clinton,09/13/2020,1,0.9,176,38684,2.6,2.2,455,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Pennsylvania,05/16/2020,550,755.6,63419,12807060,4.3,5.9,495.2,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Schuylkill,08/20/2020,1,4,972,142067,0.7,2.8,684.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Adams,11/25/2020,44,36.7,1879,102811,42.8,35.7,1827.6,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Armstrong,06/24/2020,0,0.3,70,65263,0,0.4,107.3,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Lancaster,09/21/2020,47,36.4,7618,543557,8.6,6.7,1401.5,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Pennsylvania,04/12/2020,1332,1653,25610,12807060,10.4,12.9,200,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Somerset,09/07/2020,1,2.3,183,73952,1.4,3.1,247.5,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
York,03/11/2020,0,0,0,448273,0,0,0,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Fulton,08/25/2020,0,0.9,34,14523,0,5.9,234.1,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Westmoreland,03/20/2020,0,0.7,5,350611,0,0.2,1.4,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Elk,07/18/2020,0,0.6,39,30169,0,1.9,129.3,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Forest,04/05/2020,1,0.9,6,7279,13.7,11.8,82.4,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Indiana,12/03/2020,80,50.4,2801,84501,94.7,59.7,3314.8,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Crawford,03/10/2020,0,0,0,85063,0,0,0,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Mckean,09/20/2020,1,1,56,40968,2.4,2.4,136.7,,,,
Lycoming,09/17/2020,8,5.1,617,113664,7,4.5,542.8,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Tioga,03/03/2020,0,,0,40763,0,,0,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Crawford,04/14/2020,0,1.3,19,85063,0,1.5,22.3,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Dauphin,06/25/2020,15,26.1,1917,277097,5.4,9.4,691.8,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Fayette,08/31/2020,3,4.6,703,130441,2.3,3.5,538.9,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Jefferson,08/08/2020,4,2.1,75,43641,9.2,4.9,171.9,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Lebanon,05/06/2020,3,13.9,801,141314,2.1,9.8,566.8,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Perry,11/30/2020,6,11,685,46139,13,23.8,1484.6,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Warren,04/21/2020,0,0,1,39498,0,0,2.5,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Bedford,08/29/2020,1,1.1,171,48176,2.1,2.4,354.9,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Susquehanna,07/30/2020,1,0.9,208,40589,2.5,2.1,512.5,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Lackawanna,09/22/2020,6,12.7,2422,210793,2.8,6,1149,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Adams,09/19/2020,5,7.4,791,102811,4.9,7.2,769.4,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Lehigh,03/17/2020,0,0,0,368100,0,0,0,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Perry,03/29/2020,0,0.1,1,46139,0,0.3,2.2,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Mercer,05/19/2020,0,2.6,98,110683,0,2.3,88.5,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Perry,04/13/2020,0,1.3,19,46139,0,2.8,41.2,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Greene,10/04/2020,0,1.1,202,36506,0,3.1,553.3,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Armstrong,04/05/2020,1,1.6,14,65263,1.5,2.4,21.5,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Crawford,12/01/2020,109,69,2119,85063,128.1,81.1,2491.1,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Juniata,05/31/2020,0,0,93,24704,0,0,376.5,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Snyder,07/03/2020,1,1.1,73,40540,2.5,2.8,180.1,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Lackawanna,11/20/2020,71,49.4,4677,210793,33.7,23.4,2218.8,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Montour,06/03/2020,0,0.4,53,18240,0,2.3,290.6,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Wyoming,04/27/2020,0,0.1,20,27046,0,0.5,73.9,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Potter,11/16/2020,8,4.6,114,16622,48.1,27.5,685.8,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Clearfield,11/07/2020,11,13,596,79388,13.9,16.4,750.7,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Berks,04/02/2020,34,22.3,227,420152,8.1,5.3,54,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Jefferson,07/22/2020,0,1,51,43641,0,2.3,116.9,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Sullivan,09/29/2020,0,0.3,13,6071,0,4.7,214.1,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
York,06/24/2020,17,28.1,1420,448273,3.8,6.3,316.8,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Northampton,03/06/2020,0,,0,304807,0,,0,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Clarion,11/28/2020,20,36.3,964,38779,51.6,93.6,2485.9,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Mercer,09/28/2020,7,5.6,742,110683,6.3,5,670.4,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Elk,03/18/2020,0,0,0,30169,0,0,0,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Wayne,10/26/2020,0,0.3,285,51276,0,0.6,555.8,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Elk,11/25/2020,15,14.7,504,30169,49.7,48.8,1670.6,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Philadelphia,05/18/2020,133,168.6,16389,1584138,8.4,10.6,1034.6,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Clearfield,06/05/2020,1,1,49,79388,1.3,1.3,61.7,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Jefferson,12/02/2020,45,37.6,937,43641,103.1,86.1,2147.1,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Philadelphia,06/09/2020,105,103.3,19302,1584138,6.6,6.5,1218.5,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Susquehanna,06/13/2020,1,2.9,171,40589,2.5,7,421.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Schuylkill,05/05/2020,11,10.7,430,142067,7.7,7.5,302.7,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Northumberland,09/16/2020,6,7.7,837,91083,6.6,8.5,918.9,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Delaware,04/02/2020,81,58.6,649,564751,14.3,10.4,114.9,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Pike,08/01/2020,1,0.3,526,55933,1.8,0.5,940.4,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Wyoming,11/20/2020,10,11.7,386,27046,37,43.3,1427.2,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Susquehanna,07/18/2020,0,0.1,195,40589,0,0.4,480.4,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Jefferson,03/12/2020,0,0,0,43641,0,0,0,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Beaver,09/15/2020,6,11.6,1813,164742,3.6,7,1100.5,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Montour,12/02/2020,139,32.3,665,18240,762.1,177,3645.8,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Beaver,03/19/2020,1,0.6,4,164742,0.6,0.3,2.4,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Luzerne,06/30/2020,6,6,2926,317646,1.9,1.9,921.2,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Carbon,03/11/2020,0,0,0,64227,0,0,0,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Clarion,11/20/2020,32,29.9,688,38779,82.5,77,1774.2,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Perry,06/15/2020,1,0.9,74,46139,2.2,1.9,160.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Delaware,03/13/2020,4,0.7,6,564751,0.7,0.1,1.1,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Perry,07/29/2020,1,1.7,116,46139,2.2,3.7,251.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Venango,11/22/2020,21,25.6,750,51266,41,49.9,1463,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Wyoming,07/11/2020,1,1,48,27046,3.7,3.7,177.5,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Bedford,04/19/2020,0,1.4,15,48176,0,3,31.1,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Berks,05/21/2020,46,31,3849,420152,10.9,7.4,916.1,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Pike,11/11/2020,8,7.4,708,55933,14.3,13.3,1265.8,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Clearfield,04/06/2020,0,0.4,7,79388,0,0.5,8.8,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Sullivan,03/11/2020,0,0,0,6071,0,0,0,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Snyder,09/18/2020,3,8.1,262,40540,7.4,20.1,646.3,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
York,07/03/2020,18,21.1,1590,448273,4,4.7,354.7,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Delaware,06/22/2020,16,18.7,7104,564751,2.8,3.3,1257.9,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Franklin,10/13/2020,4,10.7,1941,154835,2.6,6.9,1253.6,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Lancaster,06/24/2020,65,48.1,4217,543557,12,8.9,775.8,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Venango,07/13/2020,8,2.9,47,51266,15.6,5.6,91.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Crawford,08/10/2020,6,3.7,163,85063,7.1,4.4,191.6,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Chester,08/19/2020,16,23.9,5399,522046,3.1,4.6,1034.2,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Montour,04/15/2020,3,2.9,46,18240,16.4,15.7,252.2,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Franklin,09/23/2020,1,8.6,1756,154835,0.6,5.5,1134.1,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Centre,09/12/2020,33,77.6,1225,162805,20.3,47.6,752.4,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Warren,10/30/2020,0,1.3,71,39498,0,3.3,179.8,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Greene,08/19/2020,2,1.3,136,36506,5.5,3.5,372.5,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Montour,09/21/2020,1,0.7,165,18240,5.5,3.9,904.6,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
York,04/04/2020,36,20.9,190,448273,8,4.7,42.4,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Montour,10/13/2020,4,4.3,249,18240,21.9,23.5,1365.1,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Berks,06/01/2020,34,25.9,4112,420152,8.1,6.2,978.7,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Adams,03/11/2020,0,0,0,102811,0,0,0,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Bradford,10/15/2020,21,20.3,439,60833,34.5,33.3,721.6,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Blair,03/20/2020,0,0,0,122492,0,0,0,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Cambria,09/24/2020,1,3.1,565,131730,0.8,2.4,428.9,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Venango,11/26/2020,24,30.9,891,51266,46.8,60.2,1738,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Clearfield,04/17/2020,0,0.1,14,79388,0,0.2,17.6,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Elk,04/29/2020,1,0.3,5,30169,3.3,0.9,16.6,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Philadelphia,08/23/2020,65,102.6,28480,1584138,4.1,6.5,1797.8,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Dauphin,05/06/2020,20,21,760,277097,7.2,7.6,274.3,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Crawford,05/26/2020,1,0.3,26,85063,1.2,0.3,30.6,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Crawford,09/28/2020,2,2.6,314,85063,2.4,3,369.1,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
York,08/26/2020,38,30.9,3237,448273,8.5,6.9,722.1,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Venango,06/21/2020,0,0,19,51266,0,0,37.1,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Wayne,09/11/2020,3,1.9,201,51276,5.9,3.6,392,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Philadelphia,06/19/2020,98,95.4,20336,1584138,6.2,6,1283.7,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Lancaster,06/30/2020,24,45.4,4470,543557,4.4,8.4,822.4,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Pike,07/08/2020,2,1.3,506,55933,3.6,2.3,904.7,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Beaver,10/22/2020,6,9.3,2193,164742,3.6,5.6,1331.2,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Tioga,05/06/2020,0,0,16,40763,0,0,39.3,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Sullivan,08/27/2020,0,0,10,6071,0,0,164.7,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Blair,06/11/2020,1,0.1,55,122492,0.8,0.1,44.9,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Columbia,05/02/2020,2,3.6,307,65456,3.1,5.5,469,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Wayne,09/17/2020,3,1.9,211,51276,5.9,3.6,411.5,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Berks,03/22/2020,0,2,14,420152,0,0.5,3.3,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Erie,10/14/2020,10,17.7,1844,272061,3.7,6.5,677.8,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Westmoreland,05/31/2020,0,1.1,454,350611,0,0.3,129.5,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Cameron,07/05/2020,0,0.1,4,4492,0,3.2,89,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Washington,09/21/2020,8,8.3,1289,207346,3.9,4,621.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Carbon,08/06/2020,1,1.7,368,64227,1.6,2.7,573,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Union,11/09/2020,15,15.1,859,44785,33.5,33.8,1918.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Delaware,06/05/2020,49,32.9,6693,564751,8.7,5.8,1185.1,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Northumberland,08/20/2020,8,10.3,607,91083,8.8,11.3,666.4,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Cumberland,09/11/2020,11,10.1,1678,251423,4.4,4,667.4,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Pike,03/06/2020,0,,0,55933,0,,0,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Lancaster,06/07/2020,39,44.1,3505,543557,7.2,8.1,644.8,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Lehigh,06/06/2020,12,14,3854,368100,3.3,3.8,1047,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Clarion,03/20/2020,0,0,0,38779,0,0,0,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Schuylkill,08/31/2020,5,3.1,1002,142067,3.5,2.2,705.3,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Jefferson,09/09/2020,1,0.4,103,43641,2.3,1,236,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Mifflin,06/19/2020,0,0.3,63,46222,0,0.6,136.3,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Berks,11/22/2020,207,168.7,12739,420152,49.3,40.2,3032,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Montour,11/17/2020,12,5.4,390,18240,65.8,29.8,2138.2,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Lawrence,08/14/2020,1,5.1,424,86184,1.2,6,492,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Wyoming,04/16/2020,2,1.3,17,27046,7.4,4.8,62.9,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Indiana,03/23/2020,0,0,0,84501,0,0,0,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Washington,06/26/2020,9,4.1,198,207346,4.3,2,95.5,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Clinton,11/16/2020,29,11.6,432,38684,75,29.9,1116.7,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Westmoreland,03/01/2020,0,,0,350611,0,,0,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Susquehanna,08/31/2020,2,3,270,40589,4.9,7.4,665.2,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Centre,07/20/2020,5,6,295,162805,3.1,3.7,181.2,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Delaware,09/26/2020,51,40.1,11443,564751,9,7.1,2026.2,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Berks,09/20/2020,28,39.4,6871,420152,6.7,9.4,1635.4,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Greene,04/03/2020,1,0.9,12,36506,2.7,2.3,32.9,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Lackawanna,05/30/2020,4,4.6,1544,210793,1.9,2.2,732.5,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Susquehanna,07/05/2020,0,0.3,185,40589,0,0.7,455.8,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Fulton,10/20/2020,0,0.4,62,14523,0,3,426.9,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
York,04/21/2020,14,21.6,551,448273,3.1,4.8,122.9,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Clearfield,07/16/2020,2,2.1,102,79388,2.5,2.7,128.5,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Clarion,09/05/2020,1,0.4,100,38779,2.6,1.1,257.9,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Lycoming,10/15/2020,8,8.9,872,113664,7,7.8,767.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Carbon,05/07/2020,2,1.3,197,64227,3.1,2,306.7,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Allegheny,06/13/2020,2,11.1,2099,1218452,0.2,0.9,172.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Lebanon,05/27/2020,6,6.7,945,141314,4.2,4.8,668.7,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
York,10/04/2020,21,39.9,5133,448273,4.7,8.9,1145.1,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Erie,03/21/2020,2,0.4,3,272061,0.7,0.2,1.1,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Luzerne,03/01/2020,0,,0,317646,0,,0,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Indiana,04/24/2020,2,2.1,62,84501,2.4,2.5,73.4,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Philadelphia,03/17/2020,7,2.7,19,1584138,0.4,0.2,1.2,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Allegheny,06/12/2020,11,13.4,2097,1218452,0.9,1.1,172.1,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Adams,04/26/2020,5,5.4,132,102811,4.9,5.3,128.4,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Chester,08/04/2020,23,34.3,5002,522046,4.4,6.6,958.2,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Mercer,07/22/2020,5,10.3,280,110683,4.5,9.3,253,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Montour,03/14/2020,0,0,0,18240,0,0,0,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Berks,11/06/2020,113,102,10279,420152,26.9,24.3,2446.5,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Crawford,03/23/2020,0,0,0,85063,0,0,0,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Perry,10/01/2020,1,3,243,46139,2.2,6.5,526.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Indiana,11/08/2020,19,33.4,1482,84501,22.5,39.6,1753.8,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Jefferson,10/07/2020,3,1.3,128,43641,6.9,2.9,293.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Juniata,11/09/2020,7,8.6,315,24704,28.3,34.7,1275.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Somerset,05/12/2020,0,0,32,73952,0,0,43.3,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Cameron,03/30/2020,0,0.1,1,4492,0,3.2,22.3,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Elk,04/12/2020,0,0.4,3,30169,0,1.4,9.9,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Philadelphia,11/27/2020,907,886.4,61383,1584138,57.3,56,3874.9,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Luzerne,08/01/2020,47,26,3341,317646,14.8,8.2,1051.8,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Union,07/01/2020,2,0.6,95,44785,4.5,1.3,212.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Carbon,04/27/2020,7,3.4,178,64227,10.9,5.3,277.1,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Greene,09/03/2020,0,1.3,152,36506,0,3.5,416.4,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Juniata,09/04/2020,0,0.6,151,24704,0,2.3,611.2,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Fayette,08/26/2020,8,4.3,681,130441,6.1,3.3,522.1,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Delaware,10/06/2020,88,46.1,11903,564751,15.6,8.2,2107.7,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Warren,11/22/2020,3,7.4,164,39498,7.6,18.8,415.2,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Lebanon,04/06/2020,23,19.3,167,141314,16.3,13.6,118.2,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Philadelphia,04/21/2020,302,321.3,9759,1584138,19.1,20.3,616,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Crawford,10/13/2020,3,3.9,362,85063,3.5,4.5,425.6,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Huntingdon,06/30/2020,0,1.6,252,45168,0,3.5,557.9,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Mifflin,08/09/2020,0,1.6,121,46222,0,3.4,261.8,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Cambria,10/26/2020,39,22.3,1078,131730,29.6,16.9,818.3,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Venango,03/24/2020,0,0,0,51266,0,0,0,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Monroe,10/13/2020,9,7.1,1894,169507,5.3,4.2,1117.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Mercer,04/16/2020,6,2.9,59,110683,5.4,2.6,53.3,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Northampton,10/22/2020,23,30.3,5195,304807,7.5,9.9,1704.4,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Susquehanna,04/08/2020,2,1.9,20,40589,4.9,4.6,49.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Pennsylvania,04/16/2020,1766,1373.4,30940,12807060,13.8,10.7,241.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Centre,06/01/2020,0,1.1,157,162805,0,0.7,96.4,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Northampton,03/13/2020,0,0.1,1,304807,0,0,0.3,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
