Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Clinton,10/28/2020,7,3.9,278,38684,18.1,10,718.6,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Susquehanna,04/17/2020,2,5,61,40589,4.9,12.3,150.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Franklin,11/01/2020,15,32.7,2350,154835,9.7,21.1,1517.7,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Warren,06/23/2020,0,0,5,39498,0,0,12.7,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Delaware,09/19/2020,19,32.7,11162,564751,3.4,5.8,1976.4,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Northampton,03/23/2020,13,6.6,48,304807,4.3,2.2,15.7,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Fayette,09/20/2020,2,3.6,778,130441,1.5,2.7,596.4,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Lancaster,09/09/2020,38,37.1,7178,543557,7,6.8,1320.6,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Cambria,03/22/2020,1,0.1,1,131730,0.8,0.1,0.8,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Indiana,04/03/2020,2,1,9,84501,2.4,1.2,10.7,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Potter,08/30/2020,0,0.1,25,16622,0,0.9,150.4,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Pennsylvania,07/03/2020,619,646,89658,12807060,4.8,5,700.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Dauphin,11/01/2020,30,49.7,5031,277097,10.8,17.9,1815.6,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Perry,08/13/2020,6,1.9,137,46139,13,4,296.9,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Montgomery,03/15/2020,8,3.9,32,828604,1,0.5,3.9,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Luzerne,11/22/2020,89,184,8410,317646,28,57.9,2647.6,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Fulton,08/19/2020,0,0,28,14523,0,0,192.8,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Warren,11/23/2020,7,7.7,171,39498,17.7,19.5,432.9,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Montour,09/27/2020,0,1,171,18240,0,5.5,937.5,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Beaver,07/29/2020,15,19.9,1201,164742,9.1,12.1,729,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Butler,08/08/2020,6,7.9,661,187888,3.2,4.2,351.8,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Butler,07/06/2020,16,9.3,372,187888,8.5,4.9,198,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Blair,03/26/2020,0,0.1,1,122492,0,0.1,0.8,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Franklin,05/25/2020,4,12,741,154835,2.6,7.8,478.6,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Mckean,03/23/2020,0,0,0,40968,0,0,0,,,,
Cambria,09/26/2020,6,3.7,578,131730,4.6,2.8,438.8,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cambria,11/26/2020,140,162.6,4015,131730,106.3,123.4,3047.9,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Butler,10/05/2020,16,13.1,1157,187888,8.5,7,615.8,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Lycoming,09/05/2020,6,6,562,113664,5.3,5.3,494.4,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Mifflin,08/21/2020,2,1.9,138,46222,4.3,4,298.6,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Adams,04/20/2020,5,4,99,102811,4.9,3.9,96.3,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Beaver,09/27/2020,15,8.7,1912,164742,9.1,5.3,1160.6,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
